Code,Neighbourhood,Era
00,Outside Saskatoon,N/A
01,Adelaide /Churchill,2
02,Arbor Creek ,3
03,Avalon,2
04,Brevoort Park,3
05,Briarwood ,3
06,Buena Vista,2
07,Caswell Hill,1
08,Central Business District,1
09,City Park,1
10,College Park,3
11,College Park East,3
12,Confederation Park,3
13,Confederation SC,3
14,Dundonald,3
15,Eastview,3
16,Erindale,3
17,Exhibition,2
18,Fairhaven ,3
19,Forest Grove,3
20,Greystone Heights,2
21,Grosvenor Park,2
22,Hampton Village,4
23,Haultain ,2
24,Holiday Park,2
25,Holliston ,2
26,Hudson Bay Park,2
27,Kelsey Woodlawn,2
28,King George ,1
29,Lakeridge ,3
30,Lakeview,3
31,Lakewood SC,4
32,Lawson Heights,3
33,Lawson SC,3
34,Massey Place,2
35,Mayfair ,1
36,Meadowgreen ,3
37,Montgomery Place,2
38,Mount Royal ,2
39,North Park,2
40,Nutana,1
41,Nutana Park,2
42,Nutana SC,3
43,Pacific Heights,3
44,Parkridge,3
45,Pleasant Hill,1
46,Queen Elizabeth,2
47,Richmond Heights,3
48,River Heights,3
49,Riversdale,1
50,Silverspring,4
51,Silverwood Heights,3
52,Stonebridge,4
53,Sutherland ,2
54,The Willows,4
55,University Heights SC,4
56,Varsity View,2
57,Westmount ,2
58,Westview,3
59,Wildwood ,3
60,Willowgrove,4
61,Agriplace,N/A
62,Airport Business Area,N/A
63,Blairmore Dev. Area,N/A
64,CN Industrial,N/A
65,Hudson Bay Industrial,N/A
66,Marquis Industrial,N/A
67,North Industrial,N/A
68,Sutherland Industrial,N/A
69,U of S Lands MA,N/A
70,West Industrial,N/A
71,Central Industrial,N/A
72,Rosewood,4
73,Evergreen,4
